element_id	longitude_deg	latitude_deg	depth_m	strike_deg	dip_deg	strike_slip_m	dip_slip_m	area_m2	shear_modulus_pa
1032	96.1322693812583	20.1004310482826	-9952.96273679218	174.014303311306	96.3212566274756	-3.09663067335193	-0.124277087169553	6351152.59743882	25527372293.5691
1033	96.1245458460708	20.1614603058894	-9127.43365392599	174.150149615058	97.0638441746781	-3.35569952728829	-0.121951950599477	6365628.29514808	24805668270.8632
1034	96.1272603671694	20.1462027196522	-9952.96273679218	174.170201291813	96.7730472503682	-3.1427537794587	-0.125946590796189	6355968.32517046	25527372293.5691
1035	96.1196411732668	20.2072314075244	-9127.43365392599	174.301051073763	97.529816715256	-3.49494311297303	-0.0915485306541193	6371641.19128371	24805668270.8632
1036	96.1223815575318	20.191973963083	-9952.96273679218	174.326090750898	97.2203767569413	-3.25011500232341	-0.0981614271353938	6361329.78329397	25527372293.5691
1037	96.1148583622962	20.2530020936897	-9127.43365392599	174.444220266154	98.0073193006354	-3.66055511257319	-0.0951997325998149	6378642.77306705	24805668270.8632
1038	96.1176290622103	20.237744789363	-9952.96273679218	174.475365190054	97.6668676217768	-3.39234878987067	-0.0847968115057179	6367435.36406344	25527372293.5691
1039	96.1101907424448	20.2987723751831	-9127.43365392599	174.577961643217	98.4966234449149	-3.66148641617575	-0.126514370476172	6386787.7305996	24805668270.8632
1040	96.1129974381991	20.2835152092333	-9952.96273679218	174.61677294178	98.1195543890764	-3.49953505207286	-0.107062316062314	6374493.56407336	25527372293.5691
1041	96.1056320266477	20.3445422618255	-9127.43365392599	174.703309047271	99.0095903457252	-3.80595814427692	-0.130937607361787	6396146.67517899	24805668270.8632
1042	96.1084806848537	20.3292852328812	-9952.96273679218	174.749849265232	98.5868162796595	-3.5231613758565	-0.125690544862096	6382671.95403166	25527372293.5691
1043	96.1011771676343	20.3903117622909	-9127.43365392599	174.822349710941	99.5511284661626	-3.86047514238942	-0.111006890228612	6406691.08426443	24805668270.8632
1044	96.104073122621	20.3750548696276	-9952.96273679218	174.875703149334	99.0812565289052	-3.72486952219416	-0.108755278548877	6392059.60421186	25527372293.5691
